Genre,Description
Jazz,"Le jazz est un genre musical originaire du Sud des États-Unis, créé à la fin du XIXe siècle et au début du XXe siècle au sein des communautés afro-américaines. Avec plus de cent ans d'existence, du ragtime au jazz actuel, il recouvre de nombreux sous-genres marqués par un héritage de la musique euro-américaine et afro-américaine, et conçus pour être joués en public. Il émerge à partir d'autres genres musicaux, dont le ragtime, la marche, le negro spiritual et le blues, et comporte des caractéristiques telles que l'utilisation fréquente de l'improvisation, de la polyrythmie, de la syncope, du shuffle, du scat et des notes bleues. En route, il emprunte de nombreux éléments à la musique populaire américaine  et à la tradition des brass bands. Couramment associé aux cinq instruments emblématiques du jazz — le saxophone, la trompette, le trombone, la clarinette et le piano —, le jazz mobilise cependant un grand nombre d'instruments différents, dont la guitare, la batterie, et la contrebasse."
Musique classique,"La musique classique désigne, pour le grand public, l'ensemble de la musique occidentale appelée « savante » par distinction avec la musique populaire, à partir de la musique médiévale et jusqu'à nos jours."
Musique country,"La musique country est un mélange de musiques traditionnelles développé principalement dans le sud-est des États-Unis et dans les provinces maritimes du Canada, mais aussi en Europe comme en Irlande ou dans le nord des Pays-Bas. La country a évolué rapidement dans les années 1920 et reste très populaire aujourd'hui. Différentes variations du genre ont aussi émergé dans d'autres pays comme en Australie."
Musique électronique,"La musique électronique est un type de musique conçu dans les années 1950 avec des générateurs de signaux et de sons synthétiques. Avant de pouvoir être utilisée en temps réel, elle a été enregistrée sur bande magnétique, ce qui permettait aux compositeurs de manier aisément les sons, par exemple dans l'utilisation de boucles répétitives superposées. Ses précurseurs ont pu bénéficier de studios spécialement équipés ou faisaient partie d'institutions musicales préexistantes. La musique pour bande de Pierre Schaeffer, également appelée musique concrète, se distingue de ce type de musique dans la mesure où sa conception n'est pas basée sur l'utilisation d'un matériau précis mais l'inversion de la démarche de composition qui part des sons et non de la structure. La particularité de la musique électronique de l'époque est de n'utiliser que des sons générés par des appareils électroniques."
Musique expérimentale,"La musique expérimentale regroupe des musiques qui se caractérisent par l'exploration de nouveaux moyens techniques et artistiques souvent en dehors des conventions et des normes admises dans les musiques traditionnelles occidentales. Mais le terme est cependant sujet à confusion car selon le sens, large ou restreint, prêté, il ne désigne pas les mêmes catégories de musiques."
Musique folk,"La musique folk regroupe une variété de genres musicaux ayant émergé au début du XXe siècle, associés à la musique traditionnelle."
Musique instrumentale,"La musique instrumentale caractérise toute musique exclusivement destinée à des instruments. Ce concept s'oppose donc à celui de musique vocale, ceci à cause du traitement particulier habituellement réservé à la voix."
Musique latine,"La musique latine  ne désigne pas un genre musical sui generis, mais plutôt un style de musique qui englobe différents rythmes et musiques d'Amérique latine."
Musique soul,"La musique soul, ou simplement soul, est une musique populaire afro-américaine apparue à la fin des années 1950 aux États-Unis et dérivée, entre autres, à la fois du gospel et du rhythm and blues. Elle est considérée par certains comme un retour du rhythm and blues aux racines dont il est issu : le gospel ."
Musiques du monde,"L’expression musiques du monde  est un terme générique qui couvre les musiques qui ne font pas partie des principaux courants occidentaux contemporains que sont la pop, le rock, la musique classique, le jazz, le rap et la musique électronique, et qui contiennent des composantes ethniques ou traditionnelles. Par exemple, la musique bretonne et la musique basque sont des musiques traditionnelles des régions françaises."
New age,"La new age  est un genre musical souvent associé à l'environnementalisme et à la spiritualité New Age qui véhicule une ambiance relaxante et plutôt optimiste. La musique new age, dont certains morceaux sont spécifiquement conçus par leurs auteurs pour la relaxation, afin d'évacuer le stress, est souvent jouée lors de séances de yoga, de massage, de méditation,, diffusant ainsi une atmosphère apaisante. Les harmonies qui caractérisent la new age impliquent généralement une basse bourdon et varient selon les thèmes qui leur sont associés. La musique contient souvent des bruits issus de la nature, parfois utilisés en guise d'introduction d'un morceau ou pendant un passage."
Pop,"La musique pop  est un genre musical, apparu dans les années 1960 au Royaume-Uni et aux États-Unis. Il se concentre sur l'idée d'accessibilité, en mettant l'accent sur des mélodies accrocheuses, entraînantes, et en prenant souvent la forme de morceaux courts aux rythmes associés à la danse. La musique pop fut beaucoup influencée par l'apparition de l'enregistrement à pistes multiples  et du synthétiseur ."
Rap,"Le rap est un mouvement culturel et musical  qui tire ses origines du hip-hop. Apparu au début des années 1970 dans les ghettos américains, le rap se caractérise par une diction très rythmée et l’usage de la rime. C'est à la base un moyen d'expression pour revendiquer une certaine manière de vivre à cette époque, le rap prenant un caractère social important quand il souligne les injustices de la société ou un caractère plus égotrip souvent aussi. À partir des années 1980, le rap commence à s'exporter à l'étranger, en France, Allemagne, Royaume-Uni, Japon, Corée, Sénégal, Afrique du Sud, URSS  et même en Chine. Le rap se répand dans le monde entier et se propage, devenant l'un des premiers courants artistiques avec des représentants sur chaque continent."
Reggae,Descripción no encontrada
RnB contemporain,"Le RnB contemporain — aussi abrégé et stylisé en R'n'B, R&B ou simplement RnB — est un genre musical mêlant des éléments de rhythm and blues, dont il est principalement issu, de hip-hop, de soul, de pop et de funk. Lancé durant les années 1980 aux États-Unis, il prend de l'ampleur pendant les années 1990 jusqu'à devenir prédominant lors des années 2000."
Rock,"Le rock est un genre musical apparu dans les années 1950 aux États-Unis et qui s'est développé en différents sous-genres à partir des années 1960, notamment aux États-Unis et au Royaume-Uni."
Techno,"La techno est un genre de musique électronique ayant émergé aux États-Unis au milieu des années 1980. Le plus souvent composée en home studio et réinterprétée par des disc jockeys lors de pratiques festives, la techno est avant tout une musique de danse, par essence répétitive. Sa gestation se fait en parallèle de l'apparition de la house music à Chicago, mais la techno s'inspire plus volontiers encore de l'electro et de la new wave, ainsi que de la soul, du funk et des thèmes musicaux futuristes qui prévalaient dans la culture populaire, notamment de l'Amérique industrielle de la fin de la guerre froide. Au cours des années 1990, la techno se développe en véritable culture musicale grâce à l'accueil que réservent l'Angleterre et surtout l'Allemagne aux artistes de Détroit."
Acid blues,"L’acid blues est un genre musical qui mélange le rock, la soul, le funk, le jazz et le blues. Ce style est sans doute apparu à Seattle, aux États-Unis au début du XXIe siècle et il s'inspire de nombreux mouvements musicaux plus anciens, principalement le blues rock et l'acid jazz avec des artistes comme Jimi Hendrix."
Acid breaks,"L'acid breaks est un genre de musique électronique dérivé du breakbeat. Il se caractérise par le son acid typique du synthétiseur Roland TB-303, et les motifs rythmiques du breakbeat, notamment l'absence de la ligne de basse caractéristique de la techno."
Acid house,"L'acid house est un genre de musique électronique dérivé de la house, ayant émergé aux alentours des années 1980 à Chicago, aux États-Unis. Il se caractérise par une basse analogique créée par un synthétiseur-séquenceur Roland TB-303. L'acid house se répand au Royaume-Uni et en Europe dans les rave parties. À la fin des années 1980, l'acid house se développe dans la scène musicale britannique, où elle sera influencée par les directions pop et dance. Des éléments sonores acid house ont été ajoutés à d'autres styles musicaux comme la trance, la trance goa, la trance psychédélique, le breakbeat, le big beat, et la techno."
Acid jazz,"L'acid jazz, ou club jazz, est un genre musical mêlant éléments de jazz, de soul, de funk et de disco. L'acid jazz est lancé dans la scène club de Londres au milieu des années 1980 dans le mouvement rare groove et s'est depuis élargi jusqu'aux États-Unis, au Japon, en Europe de l'Est et au Brésil. Des groupes importants du genre incluent Brand New Heavies, Incognito, Us3 et Jamiroquai originaires du Royaume-Uni, et  Buckshot LeFonque originaire des États-Unis. La montée de la musique électronique club au milieu et à la fin des années 1990 mène au déclin du mouvement. Certains groupes autrefois identifiés acid jazz sont désormais catégorisés sous les noms de jazz-funk, de neo soul ou de hip-hop jazz."
Acid rock,"L'acid rock est un genre de rock psychédélique caractérisé par l'improvisation, de longs solos instrumentaux et peu de paroles ."
Acid techno,"L'acid techno est un genre de musique électronique, variante de la techno et dérivé de l'acid house et de la New beat, à qui il emprunte le son caractéristique produit par le synthétiseur Roland TB-303."
Acid trance,L'acid trance est un genre de musique électronique ayant émergé au tout début des années 1990.
Acidcore,"L'acidcore est un genre de musique électronique, dérivé de l'acid techno, du gabber et du darkcore, ayant émergé au milieu des années 1990 en Belgique et aux Pays-Bas."
Adult contemporary,"L'adult contemporary  est un style musical, variant entre musiques vocales des années 1960, soft rock des années 1970 et ballades actuelles, caractérisé par des éléments d'easy listening, de soul, de rhythm and blues, et de rock,,. L'adult contemporary est une continuité d'easy listening et du soft rock popularisé dans les années 1960 et 1970 caractérisée par quelques ajustements reflétant l'évolution de la musique pop/rock."
Afrobeat,"L'afrobeat est un genre musical issu d'un mélange de musique traditionnelle nigériane, de jazz, de highlife, de funk, et de chant, accompagné de percussions et de styles vocaux, popularisé en Afrique dans les années 1970. Le genre est fondé par le multi-instrumentiste nigérian et leader Fela Kuti, qui lui en attribue le nom. Il utilise pour la première fois le terme d'« afrobeat » à son retour d'une tournée américaine avec son groupe Nigeria '70 ."
Afropop,"La musique populaire africaine, aussi appelée afropop — aussi orthographié afro-pop et afro pop —, est un terme parfois utilisé pour désigner la musique contemporaine de la pop africaine. Caractérisée par un mélange des danses et des sons entre la musique pop américaine et la musique africaine. Le terme ne se réfère pas à un style ou à un son musical spécifique, mais il est utilisé comme un terme général pour désigner la musique populaire africaine. La musique populaire africaine, comme la musique traditionnelle africaine, est variée. La plupart des genres contemporains de musique populaire africaine sont influencés par la musique populaire occidentale."
Afrotrap,"L'afro trap — aussi orthographié afrotrap et afro-trap — est un genre musical mêlant trap et divers éléments issus des musiques africaines. L'afro trap émerge au milieu des années 2010 en France sous l'impulsion du rappeur MHD, précurseur du genre."
Aguinaldo,Descripción no encontrada
Allaoui,"L'Allaoui ou Laâlaoui  est une musique et danse traditionnelle guerrière connue de l'ouest algérien spécifique de la région de Tlemcen,."
Amapiano,"L'amapiano  est un genre de musique house ayant émergé en Afrique du Sud en 2012. L'amapiano est un hybride de deep house, de jazz et de lounge caractérisé par des synthés, des nappes aérées, de larges lignes de basse percussives , de claviers inspirés du gospel et de percussions traditionnelles. Il se distingue par des mélodies de piano aiguës, des lignes de basse kwaito, des rythmes house sud-africains des années 1990 à faible tempo et des percussions d'un autre sous-genre local de house connu sous le nom de Bacardi."
Ambient,"L'ambient est un genre de musique, généralement électronique, dont les limites sont difficiles à définir. L'ambient évoque une qualité « atmosphérique », « visuelle » ou « discrète ». Un pionnier du genre, Brian Eno, explique que « la musique ambient doit être capable d'accommoder tous les niveaux d'intérêt sans forcer l'auditeur à écouter ; elle doit être discrète et intéressante. »"
Ambient house,"L'ambient house est un genre de musique électronique ayant émergé à la fin des années 1980 au Royaume-Uni, mêlant des éléments d'acid house et d'ambient. Les chansons du genre ambient présentent typiquement un pattern en 4/4 et d'échantillonnage vocal intégré dans un style « atmospherique »."
Ambient jungle,L'ambient jungle est un genre musical mêlant jungle et ambient. Ce mode d'expression musicale donnera par évolution un autre grand courant du drum and bass : la liquid funk.
Ambient techno,"L’intelligent dance music  est un genre de musique électronique ayant émergé au début des années 1990. Il est originellement influencé par le développement de musique dance  underground comme la techno de Détroit et une variante de styles de breakbeat lancés au Royaume-Uni à cette même période,. Les origines stylistiques de l'IDM reposent plus sur l'expérimentation individualiste plutôt que par l'ajout des caractéristiques musicales associées à des genres spécifiques de musique dance. Les styles post-techno lancés au début des années 1990 sont décrits sous les termes de « art techno », « ambient techno », « intelligent techno » et « electronica ». Aux États-Unis, le terme d'electronica est souvent utilisé pour décrire un style de musique électronique downtempo ou downbeat/non-dance, mais également l'EDM."
Americana,"L’americana est défini comme un mélange de musique roots américaine et des traditions musicales qui ont fait l’histoire musicale américaine : folk, country, rhythm and blues, rock 'n' roll et bluegrass. L’americana est souvent écrite alt-country ou alt.country."
Anarcho-punk,"L’anarcho-punk est un courant musical, culturel et politique influencé par l'anarchisme et le mouvement punk. Le terme est souvent utilisé pour décrire des groupes faisant partie du mouvement anarcho-punk au Royaume-Uni à la fin des années 1970 et début 1980. Cependant, le terme est parfois également utilisé pour décrire de la musique punk ou rock au contenu lyrique anarchique, comme le crust punk, le d-beat, le punk folk, le punk hardcore, le garage punk ou le ska punk."
Anti-folk,"L'anti-folk  est un sous-genre musical du punk, qui mêle des éléments de punk rock et de musique folk américaine. Le mouvement a fait son apparition au milieu des années 1980 à New York."
Apala,L'apala est un genre musical yoruba populaire notamment au Nigeria.
Arena rock,"L'arena rock, parfois appelé stadium rock, anthem rock, ou corporate rock, industry rock) est une forme de rock jouée dans de très vastes lieux comme des stades souvent dans le cadre de tournées. Les groupes spécialisés dans cette forme musicale viennent le plus souvent du milieu du hard rock, du heavy metal ou du rock progressif mais choisissent une approche plus commerciale, formatée et proposant des morceaux de hard rock et des ballades dont les refrains peuvent être facilement repris par les spectateurs."
Ars antiqua,"Ars antiqua, également ars veterum ou ars vetus, est un terme utilisé par les musicologues modernes pour désigner la musique médiévale occidentale entre 1170 et 1310 environ."
Ars nova,"L'Ars nova est un courant de la musique médiévale occidentale, centré sur la France, et qui englobe une période comprise entre l'écriture du Roman de Fauvel  et la mort de Guillaume de Machaut ."
Art punk,"L'art punk, ou avant punk, désigne un genre musical de punk rock et post-punk avec un penchant expérimental, ou en lien avec l'école d'art, la critique d'art, ou la musique d'avant-garde."
Art rock,"L'art rock est un sous-genre du rock ayant émergé à la fin des années 1960 inspiré de l'art music  . Le premier usage du terme, selon le Merriam-Webster Online Dictionary, date de 1968. L'art rock est une forme musicale qui « tentait d'aller au-delà des limites du rock and roll », et qui opte pour une approche expérimentale et conceptuelle. L'art rock s'inspire de nombreux genres, notamment de la musique classique et du rock expérimental, des musiques psychédéliques, avant-gardistes, folk, de la pop baroque, et, par la suite, du jazz."
Ars subtilior,"L'ars subtilior  est un style de la musique du Moyen Âge de la fin du XIVe siècle et du début du XVe siècle, située entre l'ars nova et la contenance angloise."
Austropop,"L'Austropop est, depuis la fin des années 1960, un terme populaire désignant la musique pop ayant émergé en Autriche. La musique pop dont les paroles sont en autrichien est habituellement appelée Austropop."
Avant-funk,"L'avant-funk est un genre musical mêlant des éléments de funk à une mentalité avant-gardiste ou art rock. Son émergence est située à la fin des années 1970, lorsque des groupes de post-punk commençaient à s'intéresser aux styles de danse africaine."
Avant-garde jazz,"L'avant-garde jazz  est un genre d'improvisation mêlant musique avant-gardiste et jazz. Créé dans les années 1950, il s'est développé jusque dans les années 1960. L'avant-garde peut paraître similaire au free jazz par son éloignement par rapport à l'harmonie traditionnelle, il a cependant une structure prédéterminée ."
Avant-prog,"L'avant-prog, une abréviation pour rock progressif avant-gardiste, est un genre musical ayant émergé à la fin des années 1970 pour différencier deux genres distincts de rock progressif : Rock in Opposition  et l'école de Canterbury."
Avanthop,"Le hip-hop expérimental, ou abstract hip-hop, est un courant du hip-hop se démarquant du reste de la scène rap par de nombreux aspects : thèmes très éloignés des préoccupations habituelles du hip-hop  et où l'on retrouve plus volontiers des paroles poétiques, abstraites, en général dénuées de tout message velléitaire et/ou engagé, mais chargées d'une substance se voulant éthérée, subtile, lyrique. Cependant la majorité des productions relevant du hip-hop expérimental sont complètement dénuées de paroles, auquel cas on désigne parfois ce sous-genre comme 'hip-hop instrumental. En effet, le genre musical est une totale mise en avant des DJ et Beat makers qui se détachent du côté lyrique pour produire une musique plus libre et plus riche."
Axé,"L'axé  est une musique afro-brésilienne, originaire du Nordeste, symbole sacré du carnaval de Salvador de Bahia. Ce style est très rythmé, entraînant et joyeux."
Bachata,"La bachata est un genre musical originaire de République dominicaine. Il se caractérise comme un mélange de boléro  avec des influences musicales d'origine africaine et d'autres styles comme le son cubain, le compas haïtien, le merengue, le cha-cha-cha et le tango. La bachata est jouée par plusieurs guitares , accompagnées de percussions  et une basse. Le genre est associé au bolero campesino, un genre qui a lui-même été longtemps associé aux couches sociales les plus défavorisées de Saint-Domingue."
Bachatango,"Le Bachatango est une danse née en 2006, à Turin, en Italie."
Baggy,"Le baggy est un genre musical ayant émergé à la fin des années 1980 au Royaume-Uni, plus précisément à Manchester, et populaire jusqu'au début des années 1990 avec comme figure de proue les Stone Roses. Il donne naissance plus tard à la britpop."
Baguala,"La baguala est un genre musical folklorique chanté, non chorégraphique, du nord-ouest de l'Argentine, typique de la province de Salta et d'origine pré-hispanique."
Baião,Le baião est un rythme de musique populaire et un genre de danse de la région Nordeste du Brésil.
Baila,"Le baila est un genre populaire de musique à danser au Sri Lanka. Il est l'héritage de l'influence portugaise et de l'importation d'esclaves noirs, les cafres. C'est une musique créole métissée avec des influences européennes et indiennes. Resté longtemps discret et folklorique, il a acquis récemment un nouveau statut populaire, en se teintant notamment de musique calypso."
Baile funk,"Le funk carioca, aussi appelé funk brasileiro ou funky, — funk de favela ou baile funk dans le monde anglophone — est un genre de musique électronique ayant émergé dans les favelas de Rio de Janeiro, au Brésil. Malgré son nom, il est différent du funk originaire des États-Unis ou de la samba funk. En effet, à partir des années 1970, les bailes da pesada , les danses noires, soul, shaft ou funk ont commencé à être organisées à Rio de Janeiro. Au fil du temps, les DJ ont commencé à rechercher d'autres rythmes de musique noire, mais le nom original est resté."
Bakersfield sound,"Le Bakersfield sound était un genre de musique country développé dans le milieu des années 1950 à de Bakersfield, en Californie. Bakersfield sound était une réaction contre le Nashville sound, qui devenait populaire vers la fin des années 1950. ""Buck Owens and the Buckaroos"" et ""Merle Haggard and the Strangers"" sont les artistes les plus connus du Bakersfield sound. Bakersfield sound en termes d'argot est également connu comme ""Bakersfield shitkick."""
Balearic beat,"La Balearic beat  est un genre fusion de musique dance ayant initialement émergé au milieu des années 1980,. Il est devenu plus tard le nom d'un style de musique électronique qui a été populaire dans le milieu des années 1990. La Balearic house est nommée pour sa popularité parmi les boîtes de nuit européennes mais également pour les raves de plage aux Baléares sur l'île d'Ibiza, une destination touristique populaire chez les jeunes britanniques. Certaines compilations de musique de dance proviennent de la Balearic house."
Balearic trance,"La Balearic trance, Ibiza trance ou Balearic house, est un genre musical issu de la Balearic beat. Les premières compositions balearic trance peuvent être retracées quelques années après l'émergence du Balearic beat dans les années 1990."
Ballade,"Une ballade, au sens ancien, est un poème médiéval à forme fixe composé de trois couplets et d'une demi-strophe appelée « envoi », chacun étant terminé par un vers refrain, qui rappelle la forme chantée des origines. L'histoire de la poésie retient en particulier les ballades aux strophes carrées  de huit ou dix vers et aux thèmes très variés qu'ont composées des poètes comme Guillaume de Machaut, Eustache Deschamps , Christine de Pisan et François Villon  ou encore Clément Marot au XVIe siècle, alors que la Pléiade rejette le genre de la ballade comme vieilli, privilégiant des formes nouvelles comme le sonnet ou l'ode."
Ballet,"Le ballet est un genre dramatique dont l'action est figurée par des pantomimes et des danses. Ses origines remontent à la Renaissance italienne . Primitivement développé dans les cours d'Italie, le ballet a reçu ses lettres de noblesse en France, puis en Russie, en tant que danse-spectacle."
Baltimore club,"Le Baltimore club, également appelé Bmore club, Bmore house ou simplement Bmore, est un genre musical dérivé du breakbeat, du hip-hop et de la house. Le genre est lancé à Baltimore, aux États-Unis, à la fin des années 1980 par Luther Campbell des 2 Live Crew, Frank Ski, Big Tony , Scottie B. et DJ Spen."
Bambuco,Le bambuco est une musique traditionnelle colombienne originaire des Andes colombiennes.
Barbershop,Descripción no encontrada
Bass music,"La bass music ou UK bass est un ensemble de genre musicaux incluant la drum and bass, la bassline, le dubstep et le UK garage notamment. Le terme est aussi employé pour désigner des morceaux qui mélangent plusieurs de ces genres ou des morceaux expérimentaux n'ayant pas forcément de genre attribué mais s'inspirant de ces genres."
Bassline,La bassline est un genre musical associé au UK garage ayant émergé de la scène speed garage. Il partage les mêmes caractéristiques  des genres dubstep et grime. Le genre a émergé à Sheffield aux alentours de 2002
Batucada,"La batucada est un genre de musique avec des percussions traditionnelles du Brésil dont les formules rythmiques en font un sous-genre de la samba. Par extension, on utilise en France le mot « batucada » pour désigner un groupe de musiciens pratiquant ce genre musical. La batucada est née à Rio de Janeiro. Marginalisé à ses débuts, ce rythme a rapidement pris les rues de Rio et devient connu dans les carnavals de tout le pays. Les joueurs de batucada sont appelés batuqueiros. Il existe des batucada d'amateurs comme de professionnelles."
Bay Area thrash metal,Descripción no encontrada
Beat,"Le beat  est un genre musical de rock et de pop largement en vogue au début des années 1960. Un des groupes les plus populaires du genre sont les Beatles. Le mot « beat » est employé pour désigner une nouvelle façon de jouer le rock 'n' roll au Royaume-Uni approximativement de 1963 à 1967, sous l'impulsion du succès des Beatles. Cette appellation désigne à la fois des groupes qui revendiquent une forte influence du rhythm and blues comme The Rolling Stones, The Who, The Kinks, The Animals, The Pretty Things, The Yardbirds et Them, et d'autres qui privilégient les mélodies et les harmonies vocales comme The Hollies, Herman's Hermits, Manfred Mann et The Zombies."
Beatbox,Descripción no encontrada
Beiguan,Descripción no encontrada
Benga,"Le benga  est un genre musical créé par des Luo, mais né à Nairobi, à la fin des années 1940 de l'union de la musique de danse cubaine, de la rumba congolaise, importées notamment par Jean Bosco Mwenda, son cousin Edward Masengo et Sam Mangwana, et du finger-style zaïrois  mariés avec le kwela d'Afrique du Sud et, surtout, avec les musiques traditionnelles des Luo comme l' omutibo, le dudu ou l' ohangla. Le genre a été popularisé dans toute l'Afrique de l'Est par l'African Broadcasting Service  créé en 1953, et repris par les Kikuyu, les Kamba et les Luhya. Au Zimbabwe, il est appelé kanindo."
Bebop,"Le bebop, ou bop,, est un genre musical de jazz ayant émergé dans les années 1940 et 1950."
Berceuse,"La berceuse est un genre musical. Il peut être instrumental ou vocal et est généralement destiné à l'endormissement des enfants. De la simple chanson enfantine au morceau de musique classique  en passant par la musique populaire  ; la berceuse se retrouve dans toutes les sociétés du monde aussi bien dans le répertoire classique que populaire. Elle est le plus souvent chantée, voire parfois murmurée ou en bouche fermée. Le terme de berceuse en anglais fait référence à Lullaby ou cradle song."
Big band,"Un « big band » est une formation orchestrale, de professionnels ou d'amateurs, qui interprète des œuvres du répertoire jazz, particulièrement dans le style swing jusque dans les années 1960 ; à partir de ces années, l'avant-garde et le free jazz commencent à s'intéresser à ce type de formation. Son nom vient de l’anglais et signifie littéralement « grand groupe ». D'autres termes comme « jazz band », « jazz ensemble », « jazz orchestra », « stage band », « society band » et « dance band » peuvent être utilisés dans des contextes particuliers."
Big beat,"Le big beat est un genre musical dérivé du breakbeat caractérisé par un mélange de divers autres genres musicaux incluant techno, rock, hip-hop et acid house. Bien que le terme big beat soit peu connu du grand public, ce genre représente pourtant une facette commerciale de la musique électronique, notamment pour son utilisation massive dans les spots publicitaires ou dans les films d'actions à gros budget. Le terme est utilisé depuis le milieu des années 1990 par la presse britannique pour décrire la musique d'artistes et groupes tels que The Prodigy, The Chemical Brothers, The Crystal Method, Cut La Roc, Fatboy Slim, Groove Armada et Propellerheads."
Big room house,"L'electro house est un genre de house. Le genre est principalement influencé par l'électro, electroclash, la pop, la synthpop,, et la tech house,,. Le terme est utilisé pour décrire le style d'artistes que l'on retrouve dans le classement DJ Mag Top 100 DJs tels que deadmau5, Kaskade, Knife Party, Madeon, Porter Robinson, Zedd."
Biguine,"La biguine est un style musical associé à une danse, originaire de Saint-Pierre en Martinique. Attestée au moment de l'abolition de l'esclavage , elle est considérée comme un des ancêtres du jazz par les musiciens américains. Assez connue en France métropolitaine dans l'entre-deux-guerres et dans l'après-guerre, elle reste aujourd'hui très présente dans les Antilles françaises, soit sous sa forme traditionnelle, soit comme source d'inspiration pour des artistes qui la font évoluer. Son nom est particulièrement illustré par un morceau de jazz de Cole Porter, Begin the Beguine."
Bikutsi,Le bikutsi  est une musique et une danse traditionnelle du Cameroun. Cette danse et cette musique sont originaires des provinces du Centre. C'est une danse traditionnelle relative à l'ethnie Beti.
Black metal,"Le black metal est un sous-genre musical du heavy metal, ayant émergé en Europe au milieu des années 1980, et développé dans les pays scandinaves, notamment en Norvège, au début des années 1990. Comme le thrash metal, le black metal s'inspire du punk hardcore et en particulier du crust, de la nouvelle vague du heavy metal britannique, ainsi que du shock rock, et se caractérise par un son chargé d'atmosphères sombres et, parfois, par des mises en scène morbides."
Black metal dépressif,"Le black metal dépressif, aussi désigné sous les termes de depressive black metal , suicidal black metal  ou depressive suicidal black metal  désigne un sous-genre de black metal, ayant émergé à la fin des années 1990. Au cours des années 2000, le genre devient internationalement connu, mais aussi controversé."
Black metal norvégien,"Le black metal norvégien est la deuxième vague de black metal, ayant émergé en Norvège au début des années 1990. Ce mouvement est considéré par une partie de l'audience générale comme une secte — le Black Metal Inner Circle — basée à Oslo."
